Zona;Poblaci¢n;A¤o;;;;
  Palmas de Gran Canaria (Las);378517;2018;;;;
  San Lorenzo;0;2018;;;;
  Palmas de Gran Canaria (Las);377650;2017;;;;
  San Lorenzo;0;2017;;;;
  Palmas de Gran Canaria (Las);378998;2016;;;;
  San Lorenzo;0;2016;;;;
  Palmas de Gran Canaria (Las);379766;2015;;;;
  San Lorenzo;0;2015;;;;
  Palmas de Gran Canaria (Las);382283;2014;;;;
  San Lorenzo;0;2014;;;;
  Palmas de Gran Canaria (Las);383050;2013;;;;
  San Lorenzo;0;2013;;;;
  Palmas de Gran Canaria (Las);382296;2012;;;;
  San Lorenzo;0;2012;;;;
  Palmas de Gran Canaria (Las);383343;2011;;;;
  San Lorenzo;0;2011;;;;
  Palmas de Gran Canaria (Las);383308;2010;;;;
  San Lorenzo;0;2010;;;;
  Palmas de Gran Canaria (Las);381847;2009;;;;
  San Lorenzo;0;2009;;;;
  Palmas de Gran Canaria (Las);381123;2008;;;;
  San Lorenzo;0;2008;;;;
  Palmas de Gran Canaria (Las);377203;2007;;;;
  San Lorenzo;0;2007;;;;
  Palmas de Gran Canaria (Las);377056;2006;;;;
  San Lorenzo;0;2006;;;;
  Palmas de Gran Canaria (Las);378628;2005;;;;
  San Lorenzo;0;2005;;;;
  Palmas de Gran Canaria (Las);376953;2004;;;;
  San Lorenzo;0;2004;;;;
  Palmas de Gran Canaria (Las);377600;2003;;;;
  San Lorenzo;0;2003;;;;
  Palmas de Gran Canaria (Las);370649;2002;;;;
  San Lorenzo;0;2002;;;;
  Palmas de Gran Canaria (Las);364777;2001;;;;
  San Lorenzo;0;2001;;;;
  Palmas de Gran Canaria (Las);358518;2000;;;;
  San Lorenzo;0;2000;;;;
  Palmas de Gran Canaria (Las);354757;1999;;;;
  San Lorenzo;0;1999;;;;
  Palmas de Gran Canaria (Las);352641;1998;;;;
  San Lorenzo;0;1998;;;;
  Palmas de Gran Canaria (Las);355563;1996;;;;
  San Lorenzo;0;1996;;;;
  Palmas de Gran Canaria (Las);373772;1995;;;;
  San Lorenzo;0;1995;;;;
  Palmas de Gran Canaria (Las);371787;1994;;;;
  San Lorenzo;0;1994;;;;
  Palmas de Gran Canaria (Las);362645;1993;;;;
  San Lorenzo;0;1993;;;;
  Palmas de Gran Canaria (Las);355153;1992;;;;
  San Lorenzo;0;1992;;;;
  Palmas de Gran Canaria (Las);354877;1991;;;;
  San Lorenzo;0;1991;;;;
  Palmas de Gran Canaria (Las);373846;1990;;;;
  San Lorenzo;0;1990;;;;
  Palmas de Gran Canaria (Las);371495;1989;;;;
  San Lorenzo;0;1989;;;;
  Palmas de Gran Canaria (Las);366347;1988;;;;
  San Lorenzo;0;1988;;;;
  Palmas de Gran Canaria (Las);358272;1987;;;;
  San Lorenzo;0;1987;;;;
  Palmas de Gran Canaria (Las);356911;1986;;;;
  San Lorenzo;0;1986;;;;
  Palmas de Gran Canaria (Las);360098;1981;;;;
  San Lorenzo;0;1981;;;;
  Palmas de Gran Canaria (Las);263407;1970;;;;
  San Lorenzo;0;1970;;;;
  Palmas de Gran Canaria (Las);192088;1960;;;;
  San Lorenzo;0;1960;;;;
  Palmas de Gran Canaria (Las);153856;1950;;;;
  San Lorenzo;0;1950;;;;
  Palmas de Gran Canaria (Las);115848;1940;;;;
  San Lorenzo;0;1940;;;;
  Palmas de Gran Canaria (Las);75832;1930;;;;
  San Lorenzo;14793;1930;;;;
  Palmas de Gran Canaria (Las);65059;1920;;;;
  San Lorenzo;8067;1920;;;;
  Palmas de Gran Canaria (Las);60338;1910;;;;
  San Lorenzo;6338;1910;;;;
